DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2013,14456.511,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2014,12967.755,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2015,13525.513,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2016,14024.428,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2017,13854.075,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2018,13777.804,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2019,13733.627,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2020,13886.374,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,FR,2021,14598.123,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2013,193.809,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2014,211.952,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2015,211.694,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2016,208.340,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2017,211.599,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2018,213.586,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2019,211.608,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2020,220.550,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,GE,2021,227.085,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2010,573.001,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2011,562.425,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2012,557.696,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2013,536.285,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2014,518.745,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2015,533.276,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2016,526.913,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2017,538.753,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2018,533.250,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2019,533.611,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2020,522.519,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HR,2021,567.016,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2010,963.199,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2011,972.657,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2012,913.156,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2013,909.716,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2014,896.217,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2015,931.986,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2016,941.874,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2017,967.240,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2018,977.644,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2019,998.968,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2020,1055.460,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,HU,2021,1120.292,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2010,734.821,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2011,712.229,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2012,698.234,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2013,683.383,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2014,662.407,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2015,677.623,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2016,676.934,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2017,684.352,
ESTAT:TEN00125(1.0),28/04/23 11:00:00,A,FC_OTH_HH_E,E7000,KTOE,IE,2018,702.818,
